"Sr No","Blood Bank Name",State,District,City,Address,Pincode,Latitude,Longitude
1352,"Acharya Shree Tulsi Blood Bank ",Maharashtra,KOLHAPUR,Kolhapur,"Gate No.1232 Sangli - Kolhapur Road, Jaysingpur Udgaon, Kolhapur
",416101,16.7857,74.5646
1353,"Dr. D. Y. Patil Hospital Blood Bank",Maharashtra,KOLHAPUR,Kolhapur,"Kadamwadi, Kolhapur",416003,16.7152,74.2564
1354,"Arpan Blood Bank - Blood Component and Apheresis Centre Kolhapur",Maharashtra,KOLHAPUR,Kolhapur,"1st Floor, Saroj Appartment, Subhash Road 1315, &#39;C&#39; Ward,  Opposite to Shramik Bhavan, Laxmipuri, Kolhapur",416001,19.1892,72.9771
1355,"Sai Seva Medical Foundation - Vaibhavlaxmi Blood Bank",Maharashtra,KOLHAPUR,Kolhapur,"1036/A, E- Ward, 1st  Floor, Deccan Engineering, Opposite to Parvati Multiplex, Rajaram Road, Kolhapur
",416001,19.2053,72.8405
1356,"Kolhapur Municipal Corporation Blood Bank",Maharashtra,KOLHAPUR,Kolhapur,"C.T.S. 83 D-Ward, Near Kasba Gate Police, Chowky, Kolhapur
",416002,16.6986,74.2239
1357,"Vande Mataram Samajik Samstha&#39;s - Jeevandhara Blood Bank",Maharashtra,KOLHAPUR,Kolhapur,"1648 E- Ward Saidarshan Hights , Opposite to Sarada Medical, Chandrakanth Candre Kalasangrahalay, Rajarampuri, 7th Lane, Kolhapur
",416008,16.6957,74.2473
1358,"Sanjeevan Blood Bank",Maharashtra,KOLHAPUR,Kolhapur,"250/B/65  First Floor, Lucky Naresh Banglow, Opposite to Collector Office, Nagala Park, Kolhapur, 
",416002,16.7066,74.2313
1359,"Shri.R.R.Patil Shikashan Sheti sanshodhan Aani vikas sanstha Blood Bank",Maharashtra,KOLHAPUR,Kolhapur,"M/s Adhar Blood Bank, 1st Floor, C.S. No. 16432 / 1, H No. 12/966, C/o. Dr. Dilip Joshi Hospital, Sambhaji Chowk, Rajaram Road, Ichalkaranji, Tal - Hatkanangle, Kolhapur",416115,16.6803,74.4617
1360,"Government Medical College General Hospital Blood Bank",Maharashtra,LATUR,Latur,"Blood Bank, Government Medical College & Hospital, Old Railway Station,  Gandhi Chowk, Latur",413512,18.3945,76.5782
1361,"IRCS - Dr. Bhalchandra Blood Bank",Maharashtra,LATUR,Latur,"Red Cross Bhavan, Gandhi Market, Latur ",413512,18.4012,76.5806
1362,"Smt. Saraswati Karad Blood Bank",Maharashtra,LATUR,Latur,"MIMSR Medical College and Y.C.R. Hospital, Vishwanath Puram,  Ambejogai Road, Latur",413512,18.4295,76.5778
1363,"IRCS Nagappa Amberkhane Blood Bank",Maharashtra,LATUR,Latur,"Banshelki Road Near Nalegaon Railway Crossing Gate Udgir, Latur ",413517,18.3923,77.107
1364,"Arpan Blood Bank Latur",Maharashtra,LATUR,Latur,"H.No R-3-1030,  Old Sonawane Hospital, Near  Ashok Hotel, Main Road, Latur",413512,18.4085,76.5516
1365,"Mauli Blood Bank",Maharashtra,LATUR,Latur,"Gayatri Hospital, Barshi Road, Latur ",413512,18.4512,73.8914
1366,"Global Hospital Blood Bank",Maharashtra,MUMBAI,Mumbai,"No. 35, Dr. Ernest Borges Road, Hospital Avenue, 
Opposite to Shirodkar High School, Parel, Mumbai.",400012,18.9993,72.8408
1367,ACTREC,Maharashtra,MUMBAI,Mumbai,"Department of Transfusion Medicine, ACTREC, 
Tata memorial centre, 
Sector 22 Kharghar, 
Navi Mumbai.",410210,19.065,73.0645
1368,"Deepak Foundation&#39;s Anviksha Blood Bank",Maharashtra,MUMBAI,Mumbai,"Paras Darshan, M. G. Road, Ghatkopar, (E) Mumbai ",400077,19.0824,72.9045
1369,"Ashirwad Blood Bank",Maharashtra,MUMBAI,Mumbai,"Imperial Mahal, 2nd Floor  Above Shabana Stores, Khodadad Circle, Dr. B. A. Ambedkar Road, Dadar TT,  Mumbai",400014,19.0173,72.8482
1370,"Asian Heart Institute and Research Center",Maharashtra,MUMBAI,Mumbai,"ICICI Tower,  Bandra Kurla Complex, Bandra (E) Mumbai",400051,19.0653,72.8608
1371,"B.S.E.S M.G. Hospital Blood Bank",Maharashtra,MUMBAI,Mumbai,"Rotary D. G. Goenka Blood Bank, Near Railway Station Andheri (W), Mumbai",400058,19.1195,72.8449
1372,"Bandra Holy Family Hospital Society Blood Bank",Maharashtra,MUMBAI,Mumbai,"Saint Andrews Road, Bandra, Mumbai",400050,19.0551,72.8272
1373,"Bhabha Atomic Research Centre Hospital Blood Bank",Maharashtra,MUMBAI,Mumbai,"BARC Hospital, Anushakti Nagar Mumbai",400094,19.0425,72.9144
1374,"Bhatia General Hospital and Blood Bank",Maharashtra,MUMBAI,Mumbai,"Tukaram Javji Road, Tardeo, Mumbai",400007,0,0
1375,"Bombay Hospital Trust Blood Bank",Maharashtra,MUMBAI,Mumbai,"12, New Marine Lines Mumbai",400020,18.941,72.8282
1376,"Borivali Blood Bank (Doshi Memorial Charitable Trust)",Maharashtra,MUMBAI,Mumbai,"3,4,5, Vithal Apartment, Near Ram Mandir, Mandpeshwar Road, Opposite, Flyover,  Borivali (w) ",400103,19.1998,72.8459
1377,"Breach Candy Hospital And Research Centre Blood Bank",Maharashtra,MUMBAI,Mumbai,"60 A, Bhulabhai Desai Road, Mumbai",400026,18.9727,72.8043
1378,"B. Y. L. Nair Hospital Blood Bank",Maharashtra,MUMBAI,Mumbai,"New OPD Building. 2nd Floor, Dr. A. L. Nair Road Mumbai Central, Mumbai ",400008,18.9743,72.8226
1379,"Cama and Albles Hospital - Abdul Fazalbhoy Blood Bank",Maharashtra,MUMBAI,Mumbai,"Mahapalika Marg, Mumbai CST",400001,18.9419,72.8322
1380,"Cumbala Hill Hospital And Heart Institute Blood Bank",Maharashtra,MUMBAI,Mumbai,"93-95, August Kranti Maidan, Mumbai",400036,0,0
1381,"Dr. Babasaheb Ambedkar Memorial Hospital - Central Railway Hospital Blood Bank",Maharashtra,MUMBAI,Mumbai,"Central Railway Byculla, (E) Mumbai",400027,0,0
1382,"Dr. L. H. Hiranandani Hospital Blood Bank",Maharashtra,MUMBAI,Mumbai,"Hill Side Avenue, Hiranandani Gardens, Powai ",400076,19.1206,72.9171
1383,"ESIC Model Hospital cum ODC Blood Bank",Maharashtra,MUMBAI,Mumbai,"Room No. 20/A, 1st Floor, ESIC Model Hospital cum ODC & PGIMSR, Central Road, M.I.D.C, Opposite to MIDC Police Station, Andheri (East), Mumbai ",400,19.1184,72.8672
1384,"Fortis Hospital Blood Bank",Maharashtra,MUMBAI,Mumbai,"Mulund Goregaon Link Road, Nahur , Mumbai ",400078,19.1621,72.9421
1385,"G. T. Hospital Blood Bank",Maharashtra,MUMBAI,Mumbai,"Near L.T.Marg Police Station, Mumbai",400001,18.9465,72.8333
1386,"Hematology Laboratory Blood Bank",Maharashtra,MUMBAI,Mumbai,"Parekh House, Ground Floor,
14 Mama Parmanand Marg, 
Mumbai.",400004,19.1834,72.8534
1387,"Harilal Bhagwati Hospital Blood Bank",Maharashtra,MUMBAI,Mumbai,"S. V. P. Road, Borivali-W, Mumbai",400103,19.2455,72.856
1388,"Suburban Hi-tech Blood Bank",Maharashtra,MUMBAI,Mumbai,"Shagun Building, 2nd Floor, 206, Rani Sati Road, Malad (E)",400097,19.1838,72.8492
1389,"Holy Spirit Hospital Blood Bank",Maharashtra,MUMBAI,Mumbai,"Mahakali  Road, Andheri (E), Mumbai",400093,19.1284,72.8665
1390,"Indian Red Cross Society Bombay City Branch Blood Bank",Maharashtra,MUMBAI,Mumbai,"Blood Centre, 141, Shahid Bhagatsingh Road, Town Hall Compound, Near R.B.I. Fort",400001,18.9325,72.8366
1391,"INS - Ashwini Blood Bank",Maharashtra,MUMBAI,Mumbai,"Near R. C. Church, Colaba, Mumbai",400005,18.9013,72.8157
1392,"Jaslok Hospital And Research Centre Blood Bank",Maharashtra,MUMBAI,Mumbai,"15, Dr. G. Deshmukh Marg, Mumbai",400026,18.9717,72.81
1393,"K. B. Bhabha General Hospital Blood Bank",Maharashtra,MUMBAI,Mumbai,"R. K. Patkar Marg, Bandra (W), Mumbai",400050,19.0575,72.8336
1394,"K. J. Somaiya Medical College and Hospital Blood Bank",Maharashtra,MUMBAI,Mumbai,"Somaiya Ayurvihar Complex, Eastern Express Highway, Sion, Mumbai ",400022,19.0473,72.8747
1395,"Kapoorben Vasanji Lathiya Blood Bank - Nanavati Hospital",Maharashtra,MUMBAI,Mumbai," Dr Balabhai Nanavati Hospital,S V Road, Vile Parle (W), Mumbai ",400056,19.0958,72.8401
1396,"K. E. M. Hospital Blood Bank",Maharashtra,MUMBAI,Mumbai,"Acharya Donde Marg, Parel, Mumbai",400012,19.0015,72.8419
1397,"Kohinoor Hospital Blood Bank",Maharashtra,MUMBAI,Mumbai,"Upper Basement, Room No. 29 to 43, Kirol Road, Off L.B.S Marg, Kurla (w)",400070,19.0762,72.8862
1398,"Kokilaben Dhirubhai Ambani Blood Bank",Maharashtra,MUMBAI,Mumbai,"4 Bunglows, Achutrao Patwardhan Marg, Andheri (west), Mumbai ",400053,19.1312,72.8248
1399,"Lilavati Hospital and Research Centre Blood Bank",Maharashtra,MUMBAI,Mumbai,"A 791, Bandra Reclamation, Bandra (W), Mumbai",400050,19.0511,72.8289
1400,"Lokmanya Tilak Municipal Hospital Blood Bank",Maharashtra,MUMBAI,Mumbai,"O. P. D. Building, 1st Floor, Sion (W), Mumbai",400022,19.037,72.859
1401,"M. T. Agarwal Municipal General Hospital Blood Bank",Maharashtra,MUMBAI,Mumbai,"Dr. R. P. Road, Mulund (W), Mumbai",400080,19.1779,72.9462
1402,"Mahatma Gandhi Seva Mandir Blood Bank",Maharashtra,MUMBAI,Mumbai,"Mahatma Gandhi Seva Mandir Hospital, 2nd Floor, Opposite to Bandra Lake, S. V. Road, Bandra (W), Mumbai  ",0,19.0558,72.8369
1403,"Manas Serological Institute Blood Bank",Maharashtra,MUMBAI,Mumbai,"CTS NO-167 / 168 / A1, 101-104, Grace Plaza, S. V. Road, 
Near Railway Phatak, Jogeshwari (W), Mumbai ",400102,19.1352,72.8481
1404,"Masina Hospital Blood Bank",Maharashtra,MUMBAI,Mumbai,"Sant Savta Marg, Byculla (E) ",400027,18.9749,72.8357
1405,"Mumbai Port Trust Blood Bank",Maharashtra,MUMBAI,Mumbai,"Nadkarni Park, Wadala (E) Mumbai",400037,0,0
1406,"N.  Wadia Maternity  Hospital Blood Bank",Maharashtra,MUMBAI,Mumbai,"Acharya Donde Marg, Parel, Mumbai",400012,19.0032,72.8428
1407,"Matoshri Valbai Mulji Shah - Arpan Blood Bank",Maharashtra,MUMBAI,Mumbai,"Aniraj Tower,  Janta Market, L.B.S Marg, Bhandup (W), Mumbai",400078,19.1427,72.9333
1408,"Navjivan Blood Bank and Lab",Maharashtra,MUMBAI,Mumbai,"Shop No.1, Abhilasha II, Punjabi Lane Borivali (W)",400092,19.2302,72.8526
1409,"P. D. Hinduja National Hospital And Medical Research Centre Blood Bank",Maharashtra,MUMBAI,Mumbai,"Veer Savarkar Road, Mahim (W), Mumbai",400016,19.0336,72.8381
1410,"Meenatai Thackeray Blood Bank - Siddharth Hospital",Maharashtra,MUMBAI,Mumbai,"Siddharth Nagar, Prabhodhan Kridabhawan Marg,
Goregaon (W)",400104,19.1596,72.8403
1411,"Prince Aly Khan Hospital Blood Bank",Maharashtra,MUMBAI,Mumbai,"Aga Hall, Nesbit Road, Mazgaon, Mumbai ",400010,18.9708,72.8366
1412,"Dr. R. N. Cooper General Hospital Blood Bank",Maharashtra,MUMBAI,Mumbai,"North south Road No-1, Juhu, Vile-Parle (W) Mumbai",400056,19.1077,72.8356
1413,"Rajawadi Blood Bank - Seth V. C. Gandhi & M. A. Vora Municipal General Hospital",Maharashtra,MUMBAI,Mumbai,"Seth V. C. Gandhi and M. A. Vora M, Rajawadi, Ghatkopar-(E), Mumbai",400077,19.0793,72.9017
1414,"S. L. Raheja Hospital Blood Bank",Maharashtra,MUMBAI,Mumbai,"Mahim, Raheja Rugnalaya Marg, Mumbai",400016,19.0466,72.8422
1415,"S. R. Mehta and Sir. K.P. Cardiac Institute Blood Bank",Maharashtra,MUMBAI,Mumbai,"Plot No. 96, Road No.31, King Circle Sion, (E) Mumbai  ",400022,19.0324,72.8596
1416,"Saifee Hospital Trust Blood Bank",Maharashtra,MUMBAI,Mumbai,"15/17, Maharishi Karve Marg, Opposite to Charni Road Station Mumbai",400004,18.9525,72.8181
1417,"Sarvodaya Hospital Samarpan Blood Bank",Maharashtra,MUMBAI,Mumbai,"Office Building, 2nd Floor, Sarvodaya Hospital, LBS  Marg, Ghatkopar (W), Mumbai",400086,19.0898,72.9072
1418,"Seven Hills Health Care Private Limited Hospital Blood Bank",Maharashtra,MUMBAI,Mumbai,"Blood Bank, 2nd Floor, Block-16, Seven Hills Hospital,  Survey No.155, 156, 162 - 168 Part, Marol - Maroshi Road,  
Andheri (E), Mumbai ",400059,19.1178,72.8781
1419,"Shushrusha Citizens Co-operative Hospital Blood Bank",Maharashtra,MUMBAI,Mumbai,"698-B Ranade Road, Dadar, Mumbai",400028,19.0234,72.8379
1420,"Sir J.J.Group of Hospital Blood Bank",Maharashtra,MUMBAI,Mumbai,"Main Building, Ground Floor, Sir J. J. Hospital, Byculla, Mumbai",400008,18.9629,72.8336
1421,"Sir J.J.Mahanagar Rakthapedhi",Maharashtra,MUMBAI,Mumbai,"Sir J.J Mahanagar Raktapedhi, F. D. Petit Building, J.J.Campus, J. J. Road, Byculla, Mumbai ",400008,18.9633,72.8325
1422,"Saint George&#39;s Hospital & Regional  Blood Bank",Maharashtra,MUMBAI,Mumbai,"Saint George&#39;s Hospital, Behind General Post Office, 
P. D&#39;Mello Road, Fort, Mumbai",400001,18.9403,72.8373
1423,"Tata Memorial Hospital Blood Bank",Maharashtra,MUMBAI,Mumbai,"5th Floor, Service Block, Dr. E. Borges Road, Parel, Mumbai ",400012,19.0049,72.8429
1424,"The B.D. Petit Parsee General Hospital Blood Bank",Maharashtra,MUMBAI,Mumbai,"B.Petit Road, Cumballa Hill,  Mumbai",400036,18.9687,72.8057
1425,"V. N. Desai Municipal General Hospital Blood Bank",Maharashtra,MUMBAI,Mumbai,"T. P. S. II, 11th Road, Santacruz (E) Mumbai",400055,19.0788,72.845
1426,"West Coast Blood Bank",Maharashtra,MUMBAI,Mumbai,"Basement 101, Moon Building, 798, Mori Road, Mahim(W), Mumbai",400016,19.043,72.8407
1427,"M/s. Balasaheb Thackerey Blood Bank",Maharashtra,MUMBAI,Mumbai,Mumbai,0,0,0
1428,"M/s. Pallavi Blood Bank",Maharashtra,MUMBAI,Mumbai,Mumbai,0,0,0
1429,"ESI-PGIMSR, MGM Hospital Blood Bank",Maharashtra,MUMBAI,Mumbai,Mumbai,0,0,0
1430,"M/s Sion Blood Bank",Maharashtra,MUMBAI,Mumbai,Mumbai,0,0,0
1431,"Harkisandas  Marottamdas Hospital Blood Bank",Maharashtra,MUMBAI,Mumbai,Mumbai,0,0,0
1432,"Government Medical College Blood Bank Nagpur",Maharashtra,NAGPUR,Nagpur,"Model Blood Bank, 2nd Floor, Hospital Building, Government Medical College & Hospital, Nagpur  ",440003,21.1261,79.0971
1433,"Super Speciality Hospital and Medical Post Graduate Institute Blood Bank",Maharashtra,NAGPUR,Nagpur,"Maenad Road, Near RST Cancer Hospital, Nagpur",440003,21.124,79.1024
1434,"Indira Gandhi Medical College and Hospital Blood Bank",Maharashtra,NAGPUR,Nagpur,"IGMC Hospital, Central Avenue Road, Nagpur ",440018,21.1539,79.0929
1435,"Daga Memorial Women Government Hospital Blood Bank",Maharashtra,NAGPUR,Nagpur,"Gandhibag, Nagpur",440002,21.1515,79.1054
1436,"Central India Institute of Haematology & Oncology&#39;s Blood & Blood Component Bank and Apheresis Unit",Maharashtra,NAGPUR,Nagpur,"Plot No-14/2, Park Corner, Bal Raj Marg, Near Loma Square, Dhantoli, Nagpur",440012,21.1347,79.0802
1437,"Jeevan Jyoti Blood Bank and Component",Maharashtra,NAGPUR,Nagpur,"J P Chamber, Madhav Nagar, Dakshin Ambakshari Road  Nagpur",440010,21.1231,79.0572
1438,"Dr. Hegdewar Blood Bank",Maharashtra,NAGPUR,Nagpur,"2, Sitaram Smruti, West High Court Road, Laxmibhuvan Square, Audumbar Apartment, Dharmpeth, Nagpur ",440010,21.1406,79.0605
1439,"Sainath Blood Bank",Maharashtra,NAGPUR,Nagpur,"531,Jaiswal Building, Above R.K. Traders, Old shukrawari Road, Sakkardara Nagpur",440024,21.1343,79.0764
1440,"Ayush Blood Bank and component Lab",Maharashtra,NAGPUR,Nagpur,"9th Floor, A wing, 901-905, 910-912, Lokmat Building, Nagpur",440010,21.1352,79.073
1441,"Lifeline Blood Bank Components and Apherisis Centre Blood Bank",Maharashtra,NAGPUR,Nagpur,"Neeti Gaurav complex , 2nd Floor, Central Bazar Road, Lokmat Square, Ramdaspeth, Nagpur ",400010,21.139,79.0631
1442,"Rainbow Blood Bank",Maharashtra,NAGPUR,Nagpur,"3rd Floor, 282, Rainbow Diagnostic Services Central Bazar Road, Ramdas Peth, Nagpur",440010,21.1336,79.0727
1443,"NKP Salve Institute of Medical Science and Research Center (Lata Mangeshkar Hospital), Blood Bank",Maharashtra,NAGPUR,Nagpur,"5, YMCA Complex, Digdoh Hills, Hingna Road, Nagpur",440019,21.1443,79.0788
1444,"Nandkishor Education Society Trust - Arpan Voluntary Blood Bank",Maharashtra,NAGPUR,Nagpur,Nagpur,0,0,0
1445,"Dr. Shankarrao Chavan Government Medical College and Guru Govindsinghji Memorial Hospital Blood Bank",Maharashtra,NANDED,Nanded,"Vazirabad, Nanded ",0,19.1093,77.293
1446,"Indian Red Cross Society Blood Bank",Maharashtra,NANDED,Nanded,"Parsi Anjuman Complex, Vazirabad, Nanded      ",431602,17.3998,78.4855
1447,"Golvalkar Guruji Blood Bank",Maharashtra,NANDED,Nanded,"Plot No.2-12-407, Bandhaghat Road, Vazirabad, Nanded",431601,19.1686,77.3266
1448,"Arpan Blood Bank",Maharashtra,NANDED,Nanded,"2nd Floor, Dayma Complex, Doctor Lane, Ghamodia,Nanded",431601,19.1611,77.303
1449,"Guru Gobindsinghji Blood Bank",Maharashtra,NANDED,Nanded,"Geeta Bhavan 1 & 2 Floor, House No 3-1-366, Near Government, Opposite to Ayurvedic College, Bus Stand Road, Vazirabad, Nanded          ",431601,19.156,77.309
1450,"Nanded Blood Bank",Maharashtra,NANDED,Nanded,"Shivaji Nagar ,Opposite to Adhar Hospital, Nanded ",431602,19.1613,77.3045
1451,"Hazur Saheb Blood Bank",Maharashtra,NANDED,Nanded,"2nd Floor, Opposite to Bank of India, Sant Kripa Market, GG Road, Nanded ",431601,19.1531,77.3187
1452,"Civil Surgeon - District General Hospital Blood Bank",Maharashtra,NANDURBAR,Nandurbar,"Nandurbar, Railway Station Road Survey No.406, Civil Hospital Compound,  Sakri Road, Near Collector Office Nandurbar  ",425412,21.3387,74.2348
1453,"Sahada Blood Bank - Shree Swami  Samartha Vaidyakiya  Shaikshanik and Sanshodhan Sanstha ",Maharashtra,NANDURBAR,Nandurbar,"C/o. 1st Floor, Shushrut Hospital, Khetiya Road, Survey 
No. 67/3, Plot No. 3, Sahada, Nandurbar",425409,21.5548,74.4729
1454,"Jankalyan Rakta Pedhi",Maharashtra,NANDURBAR,Nandurbar,"Nandurbar,1st Floor, Vivekanand Hospital, Desaipura, Nandurbar ",425412,21.3643,74.2446
1455,"Malegaon Blood Bank",Maharashtra,NASHIK,Malegaon,"2nd Floor, West End Complex, Satana Naka, Malegaon ",423203,20.5547,74.5244
1456,"Seva Blood Bank",Maharashtra,NASHIK,MALEGAON,"Nilkanth Building, Satana Naka, Satana Road, Malegaon, Nashik",423203,20.5527,74.5166
1457,"Roachabai Sugnomal Manwani - Cantonment General Hospital Blood Bank",Maharashtra,NASHIK,Nashik,"Vadner Road, Devlali, Nashik",422401,19.9034,73.8258
1458,"Metro Blood Bank - District (Civil) Hospital Nashik",Maharashtra,NASHIK,Nashik,"District - Civil Hospital Blood Bank, Near Thakkar Bazaar,  Trimbak Naka, Nashik",422001,19.9969,73.7782
1459,"Sainik Aspatal Military Hospital Blood Bank",Maharashtra,NASHIK,Nashik,"Sainik Aspatal, Military Hospital, Deolali",0,19.9483,73.8419
1460,"Ansar Blood Bank",Maharashtra,NASHIK,Nashik,"1398/1, Islampura, Industrial Society Compound, Quidwai Road, Malegaon, Nasik",423203,20.552,74.5326
1461,"Arpan Blood Bank and Blood Component Laboratory and Research Centre",Maharashtra,NASHIK,Nashik,"1st Floor, Office No.102/103, Dr. Athawale Chambers, Opposite to Gavkari Press Tilak Path, Nashik 
",422001,20.0049,73.7872
1462,"Jankalyan Blood Bank",Maharashtra,NASHIK,Nashik,"3, Shree Nagar, Old Gangapur Naka, Gangapur Road, Nashik
",422013,20.0088,73.7702
1463,"NDMVPS Medical College and Hospital Blood Bank",Maharashtra,NASHIK,Nashik,"At Post Adgaon Dist Nashik ",0,20.0374,73.853
1464,"Samta Blood Bank",Maharashtra,NASHIK,Nashik,"F-1, 1st Floor Suyojit Comercial Complex, Mumbai Agra Highway, Below Data Mastics, Mumbai Naka, Nashik 
",422001,19.9848,73.7826
1465,"Sanjeevani Blood Bank",Maharashtra,NASHIK,Nashik,"Nashik, Krushna-Chaya Bangla, Plot No. 10/11, Kurdukar Nagar, Behind Fame Theatre, Nashik Pune Road, Nashik ",422006,19.9756,73.804
1466,"Jijau Mahila Sevabhavi Sansthan Nashik Blood Bank and Transfusion Research institute Blood Bank",Maharashtra,NASHIK,Nashik,"Ishwar Krupa Ganesh Nagar, Tidke Colony, Nashik ",0,19.9907,73.7752
1467,"The Santajee Educational and Medical foundation Trust - Jeevan  Blood Bank ",Maharashtra,NASHIK,Nashik,"Suyojit City Center, G-11, 12, 13, S. No. 567/1/1 & 567/1/3 (CTS No. 7249 & FP No. 60) Mumbai Naka, Near Mahamarg Bus Stand, Nashik 
",0,19.9878,73.7841
1468,"SMBT Institute of Medical Science and Research Centre - Blood Bank and Component",Maharashtra,NASHIK,Nashik,"SMBT Institute of Medical Science & Research Centre, Blood Bank & Component,  Block-101, Ground Floor, ‘A’ Wing, New SMBT Hospital Building, Survey No. 470, Nandihills Appt., At Post-Dhamangaon, Ghoti, Igatpuri, Nashik
",422002,19.7606,73.7699
1469,"Hindustan Aeronautics Limited Blood Bank",Maharashtra,NASHIK,Nashik,"HAL, Aircraft Division, HAL, In Front of GES HAL High School, Ojhar Township, Niphad, Nashik
",0,20.1059,73.9319
1470,"J.D.C. Bytco Hospital Blood Bank",Maharashtra,NASHIK,Nashik,"1st Floor, Bytco Hospital, Nashik Road, Behind Durga Garden, Shahu Path, Nashik",422101,19.9491,73.8387
1471,"Regional Referal Hospital Blood Bank",Maharashtra,NASHIK,Nashik,"Medical Superintendent, Regional Referal Hospital (Superspeciality Hospital) Blood Bank, Nashik",0,0,0
1472,"Shri Krishna Blood Bank",Maharashtra,OSMANABAD,Omerga,"Dr. Patange Hospital Building, Ajay Nagar Omerga, Omerga,  Osmanabad  ",413606,17.835,76.6221
1473,"Civil Surgeon, General Hospital Blood Bank",Maharashtra,OSMANABAD,Osmanabad,"Civil Hospital Osmanabad, Tqand, Osmanabad ",413501,18.1808,76.0347
1474,"Civil Surgeon - District General Hospital Blood Bank",Maharashtra,PARBHANI,Parbhani,"Blood Bank Civil Surgeon, District General Hospital Blood Bank, Subhash Road, Parbhani
",414001,19.2717,76.765
1475,"Kanthak Sevabhavi Sanstha - New Life Blood  Bank",Maharashtra,PARBHANI,Parbhani,"Plot No 22, Survey No 389 and 394, Beside Gurudwara, Station Road, Parbhani ",431401,19.2731,76.7826
1476,"Indian Red Cross Society Blood Bank",Maharashtra,PUNE,Baramati,"Indian Red Cross Society (IRCS), (Late Manikbai Chandulal Saraf) Blood Bank, Near Government Silver Jubilee Hospital, Patas Road, Baramati, Pune",413102,18.1526,74.575
1477,"Pune Chest and General Hospital Blood Bank",Maharashtra,PUNE,Pune,"Aundh Cest Hospital, Aundh Camp, Pune",411027,18.575,73.8054
1478,"Sasoon Sarvopchar Hospital Blood Bank",Maharashtra,PUNE,Pune,"Ground Floor, Section 5, Opposite to Central Medical Stores, Station Road, Pune",411021,18.5158,73.8587
1479,"Armed Forces Blood Bank",Maharashtra,PUNE,Pune,"Vanwadi Armed Force Medical College, Pune",411040,18.5052,73.8897
1480,"Jankalyan Raktapedhi Pune",Maharashtra,PUNE,Pune,"1003, Shukrawar Peth, Swargate - Saras Baugh Road, Near Natraj Hotel, Pune",411002,18.5009,73.8575
1481,"Inlaks Budharani Hospital Blood Bank",Maharashtra,PUNE,Pune,"7-9, Koregaon Park, Pune",411001,18.5344,73.8874
1482,"Indian Serological Institute Blood Bank",Maharashtra,PUNE,Pune,"21, Anand Baugh, Navi Peth, Near Vaikunth, Pune",411030,18.5063,73.8426
1483,"Acharya Anandrushiji Blood Bank",Maharashtra,PUNE,Pune,"191-192, New Sadashiv Peth, S. M. Joshi Foundation Building, Near Patrakar Bhavan, Pune",411030,18.5086,73.8448
1484,"Akshay Blood Bank",Maharashtra,PUNE,Pune,"Survey No.10/1/3, Unnati Nagar, Bantar High School, Hadapsar, Pune",411028,18.4714,73.9597
1485,"Garware Blood Bank - Talegaon Rural Hospital",Maharashtra,PUNE,Pune,"Talegaon Dhabhade, Maval, Pune ",410507,18.7353,73.676
1486,"Jehangir Hospital Blood Bank",Maharashtra,PUNE,Pune,"32, Sasoon Road, Pune ",411001,18.5304,73.8768
1487,"KEM Hospital Blood Bank",Maharashtra,PUNE,Pune,"Sardar Moodliar Road, Rastha Peth, Pune",411001,18.5198,73.8669
1488,"Grant Medical Foundation A.H. Wadia Trust Blood Bank",Maharashtra,PUNE,Pune,"40, Sassoon Road, Ruby Hall Clinic, Post Box No. 70, Pune",411001,18.5334,73.8769
1489,"Bharati Vidyapeeth Medical Foundation Blood Bank",Maharashtra,PUNE,Pune,"Sector - 28, Dhankawadi, Pune Satara Road, Pune",411043,18.4599,73.856
1490,"Padmashree Dr. D.Y. Patil (Vishweshwar) Blood Bank",Maharashtra,PUNE,Pune,"Padmashree, Dr. D. Y. Patil Medical College Hospital, Sant Tukaram Nagar, Pimpari, Pune",411018,18.6242,73.8213
1491,"Deenanath Mangeshkar Hospital Blood Bank",Maharashtra,PUNE,Pune,"Erandawane, Near Mhatre Bridge, Pune",411004,18.5021,73.8322
1492,"Poona Serological Institute Blood Bank",Maharashtra,PUNE,Pune,"C.T.S. No. 592, 3rd Floor, Dhanwantari Complex, Rasta Peth, Pune",411011,18.5167,73.8665
1493,"Sahiyadari Speciality Hospital Blood Bank",Maharashtra,PUNE,Pune,"Kokoan Mitra Mandal Medical Port Trust&#39;s Sahiyadari Speciality Hospital Blood Bank, Plot No-30 C, Erandvane, Karve Road, Pune ",411004,18.5131,73.8393
1494,"Aditya Birla Memorial Hospital Blood Bank",Maharashtra,PUNE,Pune,"Survey No:31, Near Morya Mangal Karyalay, Thergaon, Chinchwad, Pune ",411033,18.6257,73.7748
1495,"Rakesh Jain Memorial Blood Bank",Maharashtra,PUNE,Pune,"Poona Hospital and Reserch Centre 27, Sadashiv Peth, Pune  ",411030,18.5108,73.8422
1496,"Noble Hospital Blood Bank",Maharashtra,PUNE,Pune,"B-007, Basement C/o. Noble Hospital, 153 Magarpatta City Road, Hadapsar, Pune  ",411013,18.505,73.9273
1497,"Smt Kashibai Navale General Hospital Blood Bank",Maharashtra,PUNE,Pune,"Sr. No. 50/15 building NO.5 2nd Floor, Narhe, Ambegaon, Pune  ",411041,18.4562,73.8222
