"Sr No","Blood Bank Name",Apheresis,"Service Time","Blood Component Available"
832,"Dr.Rajkumar (Appaji) Blood Bank",NO,24x7,NO
833,"Sri Shankara Cancer Hospital and Research Centre Blood Bank",YES,24x7,YES
834,"Mediscope Blood Bank",,24x7,
835,"Sapthagiri Hospital Blood Bank",NO,24x7,YES
836,"The District Surgeon District Hospital Blood Bank",NO,24x7,NO
837,"District Hospital Blood Bank Bijapur",NO,24x7,NO
838,"B.L.D.E. Association&#39;s Medical College & Reserch Centre Blood Bank",NO,24x7,NO
839,"Lions Blood Bank",NO,24x7,NO
840,"Dr. B. N. M. Rural Ayurvedic Medical College and Hospital Blood Bank",NO,24x7,NO
841,"Al-Ameen Medical College Hospital Blood Bank",NO,24x7,NO
842,"GMETS Dr. Goudars Blood Bank",NO,24x7,NO
843,"District Hospital Blood Bank Chamarajanagar",NO,24x7,NO
844,"Holy Cross Hospital Blood Bank",NO,24x7,NO
845,"Indian Red Cross Society Blood Bank Chikkaballapur",NO,24x7,YES
846,"Mallegowda District Hospital Blood Bank",NO,24x7,NO
847,"Holy Cross Hospital Blood Bank",NO,24x7,NO
848,"Sharada Dhanvantari Charitable Hospital Blood Bank",NO,24x7,NO
849,"District Hospital Blood Bank Chitradurga",NO,24x7,NO
850,"SJM Blood Bank Basaveshwara Medical College Hospital and Research Centre",NO,24x7,NO
851,"Vasavi Blood Bank",NO,24x7,NO
852,"Jyothi Hospital Blood Bank",NO,24x7,NO
853,"M/s. Indian Red Cross Society Blood Bank",NO,24x7,YES
854,"Fr. Mullers Charitable Instituitions Blood Bank",NO,24x7,NO
855,"City Hospital Research and Diagnostic Centre Blood Bank",NO,24x7,NO
856,"The District Surgeon - Wenlock District Hospital Blood Bank",NO,24x7,YES
857,"Yenepoya Medical College Blood Bank",NO,24x7,NO
858,"A. J. Hospital and Research Centre Blood Bank",NO,24x7,YES
859,"KMC University Medical Centre Blood Bank",NO,,YES
860,"Srinivasa Institute of Medical Sciences and Research Centre Blood Bank",NO,24x7,NO
861," M/s. Tejasvini Hospital Lions Blood Bank",NO,24x7,NO
862,"Indian Red Cross Society Blood Bank Mangalore",NO,,NO
863,"Nitte University Blood Bank",NO,24x7,YES
864,"M/s. Kanachur Hospital & Research Centre Blood Bank",NO,24x7,YES
865,"Rotary Campco Blood Bank",NO,24x7,NO
866,"General Hospital Blood Bank Puttur",,24x7,
867,"K. V. G Medical College Hospital Blood Bank",NO,24x7,YES
868,"Chigateri District Hospital Blood Bank",NO,24x7,YES
869,"Bapuji Hospital Blood Bank",NO,24x7,YES
870,"Davangere Blood Bank",NO,24x7,YES
871,"Bapuji Educational Association S. S. Institute of Medical Sciences and Research Hospital Blood Bank",NO,24x7,YES
872,"Karnataka Hemophillia Society Life Line Blood Bank",NO,24x7,NO
873,"INDIAN RED CROSS SOCIETY",2,24X7,NO
874,"Rotary Club Dharwad Mid Town Charitable Trust - Rotary Blood Bank",NO,24x7,NO
875,"District Hospital Blood Bank Dharwad",NO,24x7,NO
876,"SDM College of Medical Sciences and Hospital Blood Bank",NO,24x7,YES
877,"Karnataka Medical College Hospital Blood Bank",YES,24x7,YES
878,"M. R. Diagnostic Research Centre and Blood Bank",NO,24x7,NO
879,"The Karnataka Cancer Therapy and Research Institute Smt. Valbai N. Dharamsey Blood Bank",YES,24x7,YES
880,"Jeevanavar Blood Bank",NO,24x7,NO
881,"Hubli Lions Blood Bank",NO,24X7,NO
882,"Sha Damji Jadavji Chheda Memorial Rashtrotthana Blood Bank",NO,24x7,NO
883,"Life Line 24x7 Blood Bank",YES,24x7,YES
884,"M/s. Suchirayu Healthcare Limited Blood Bank",NO,24x7,YES
885,"IMA Blood Bank",NO,24x7,NO
886,"Gadag Institute of Medical Sciences & District Hospital Blood Bank",NO,24x7,YES
887,"Sri. Chamarajendra District Hospital Blood Bank",NO,24x7,NO
888,"Jeeva Raksha Blood Bank",NO,24x7,YES
889,"Manjunath Orthopaedic and Trauma Centre Hospital Blood Bank",NO,24x7,YES
890,"District Hospital Blood Bank Haveri",NO,24x7,NO
891,"HKES Blood Bank Organisation",NO,24x7,NO
892,"District Hospital Blood Bank",NO,24x7,NO
893,"Health Care Blood Bank",NO,24x7,NO
894,"Khaja Banda Nawaz Teaching and General Hospital Blood Bank",NO,24x7,YES
895,"M/s. Vaatsalya Life Hospitals Navajeeva Blood Bank",YES,24x7,YES
896,"M/s. Medicare Multispeciality Hospital Blood Bank",NO,24x7,YES
897,"District Hospital Blood Bank",NO,24x7,NO
898,"Sambrama Institute of Medical Sciences & Research Hospital Blood Bank",NO,24x7,YES
899,"General Hospital Robertson Peth Blood Bank",NO,24x7,NO
900,"S.N.R. District Hospital Blood Bank",NO,24x7,NO
901,"BEML Medical Centre Bharat Earth Movers Limited Blood Bank",NO,24x7,NO
902,"R. L. Jalappa Hospital and Research Centre Blood Bank",NO,24x7,YES
903,"Gopi Blood Bank",NO,24x7,NO
904,"Indian Red Cross Koppal District Branch Blood Bank",,24x7,
905,"Adichunchanagiri Hospital and Research Centre Blood Bank",NO,24x7,NO
906,"District Hospital Blood Bank Mandya",NO,24x7,NO
907,"MDC Voluntary Blood Bank",NO,24x7,NO
908,"Vikarm Hospital Blood Bank",,24x7,
909,"Holdsworth Memorial Mission Hospital Blood Bank",NO,24x7,NO
910,"Bassappa Memorial Hospital Blood Bank",NO,24x7,NO
911,"B. G. S. Apollo Hospital Blood Bank",NO,24x7,NO
912,"Vikram Hospital and Heart Centre Blood Bank",NO,24x7,NO
913,"Rotary Mysore Chandrakala Hospital Blood Bank",NO,24x7,NO
914,"Jeevadhara Voluntary Blood Bank ",NO,24x7,NO
915,"Nuveen Medical Relief and research Foundation Blood Bank",YES,24x7,YES
916,"Cauvery Hospital Blood Bank",,24x7,
917,"Kamakshi Hospital Blood Bank",NO,24x7,NO
918,"Narayana Hrudayalaya - Surgical Hospital Private Limited Blood Bank",,24x7,
919,"J. S. S. Hospital Blood Bank",NO,24x7,YES
920,"K. R. Hospital Blood Bank",NO,24x7,NO
921,"Railway Hospital Blood Bank",NO,24x7,NO
922,"Hutti Gold Hospital Blood Bank",NO,24x7,NO
923,"Indian Medical Association Blood Bank",NO,24x7,NO
924,"Navodaya Medical College Hospital and Research Centre Blood Bank",NO,24x7,YES
925,"Raichur Institute of Medical Sciences Teaching Hospital (RIMS) Blood Bank",NO,24x7,YES
926,"Sri Shakti Blood Bank",NO,24x7,NO
927,"M/S Indian Red Cross Society",NO,24X7,NO
928,"Jeevadhara Blood Bank",NO,24x7,NO
929,"VISL Hospital Blood Bank",NO,24x7,NO
930,"McGann Hospital Blood Bank",NO,24x7,NO
931,"Shimoga Mid Town Rotary Charity Foundation Blood Bank",YES,24x7,YES
932,"Subbaiah Medical College Blood Bank",YES,24x7,YES
933,"M/s. Sahyadri Narayana Multispeciality Hospital Blood Bank",NO,24x7,YES
934,"Red Cross Sanjeevini Blood Bank",NO,,NO
935,"Sri Sidhartha Medical College Blood Bank",NO,24x7,NO
936,"District Hospital Blood Bank Tumkur",NO,24x7,NO
937,"J.C. Voluntary Blood Bank",NO,24x7,NO
938,"Vijaya Hospital Blood Bank",NO,24x7,NO
939,"Rotary Tumkur Central Belli Blood Bank",NO,24x7,NO
940,"Sri Shridevi Charitable Trust - Sreedevi Institute of Medical Sciences & Research Hospital Blood Bank",NO,24x7,YES
941,"Kasturba Hospital Blood Bank",NO,,YES
942,"District Hospital Blood Bank Udupi",NO,24x7,NO
943,"K. L. E. Society Blood Bank",NO,24x7,NO
944,"District Hospital Blood Bank Karwar",NO,24x7,NO
945,"Pandit General Hospital Blood Bank",NO,24x7,NO
946,"The Uttara Kannada Blood Bank and Health Services Society",NO,24x7,NO
947,"Shripad Hegde Kadave Institute of Medical Sciences Blood Bank",NO,24x7,NO
948,"M/s. Indian Red Cross Society Blood Bank Yadgir",NO,24x7,NO
949,"K. V. M. Hospital Blood Bank",,24x7,
950,"Woman and Child Hospital Blood Bank",NO,24x7,NO
951,"Central Travancore Specialist Hospital Limited Blood Bank",,24x7,
952,"M/s. Sanjivani Multispeciality Hospital Blood Bank",NO,24x7,YES
953,"Century Hospital Blood Bank",NO,24x7,NO
954,"Sacred Heart Hospital Blood Bank",NO,24x7,NO
955,"V. S. M. Hospital Blood Bank",NO,24x7,NO
956,"Chitra Hospital Blood Bank",,,NO
957,"T. D. Medical College Hospital Blood Bank Alappuzha ",NO,24x7,YES
958,"M/s. Rajagiri Healthcare and Education Trust Blood Bank",NO,24x7,YES
959,"Regional Blood Transfusion Centre - District Hospital",NO,24x7,YES
960,"Carmel Hospital Blood Bank",NO,24x7,NO
961,"Little Flower Hospital Blood Bank",NO,24x7,YES
962,"Aster Medicity - Aster DM Healthcare Private Limited Blood Bank",NO,24x7,YES
963,"General Hospital Blood Bank ",NO,24x7,NO
964,"INHS Sanjeevini Naval Base Blood Bank",NO,24x7,NO
965,"IMA Voluntary Donor Blood Bank",NO,24x7,YES
966,"Lisie Hospital Blood Bank",NO,24x7,NO
967,"Malankara Orthodox Syrian Church Medical Mission Hospital Blood Bank",NO,24x7,NO
968,"Amritha Institute of Medical Sciences Research Centre Blood Bank",NO,24x7,YES
969,"Medical Trust Hospital Blood Bank",NO,24x7,YES
970,"Government Medical College Ernakulam Blood Bank",NO,24x7,YES
971,"P. V. S. Memorial Hospital Limited Blood Bank",YES,24x7,YES
972,"Samaritan Hospital Blood Bank",NO,24x7,NO
973,"Lourdes Hospital Blood Bank",NO,24x7,YES
974,"Sunrise Institute of Medical Sciences Private Limited Blood Bank",NO,24x7,YES
975,"Devamatha Hospital Blood Bank",NO,24x7,NO
976,"Mar Baselius Medical Mission Hospital Blood Bank",NO,24x7,NO
977,"Saint Joseph Hospital Blood Bank",,24x7,
978,"Lakeshore HospitalandResearch Centre Limited Blood Bank",NO,24x7,YES
979,"Nirmala Medical Center Blood Bank",NO,24x7,NO
980,"Sree Narayana Institute of Medical Sciences Blood Bank",,24x7,
981,"Sanjoe Hospital Blood Bank",NO,24x7,NO
982,"Morning Star Medical Centre Blood Bank",NO,24x7,NO
983,"Saint Johns Hospital Blood Bank",NO,24x7,NO
984,"Mundakkayam Medical Trust (M.M.T.) Hospital Blood Bank ",NO,24x7,NO
985,"Tata Tea Limited General Hospital Blood Bank",NO,24x7,NO
986,"Alphonsa Hospital Blood Bank",NO,24x7,NO
987,"District Hospital Blood Bank",NO,24x7,NO
988,"Holy Family Hospital Blood Bank",NO,24x7,NO
989,"I. M. A. Blood Bank Society",NO,24x7,YES
990,"M/s. Al-Azhar Medical College & Super Speciality Hospital Blood Bank",NO,24x7,NO
991,"Sara Memorial Medical laboratory and Blood Bank",NO,24x7,YES
992,"Kannur Medical college and Hospital (Prestige educational Trust) Blood Bank",NO,24x7,YES
993,"Saint Martin De Porres Hospital Blood Bank",NO,24x7,NO
994,"Cannannore Co-operative Hospital Society Blood Bank",NO,24x7,NO
995,"District Hospital Blood Bank",NO,24x7,NO
996,"Kerala State Co-operative Hospital Complex and Centre for Advanced Medical Services Limited",NO,24x7,YES
997,"The Payyannur Co-operative Hospital Society Limited",NO,24x7,NO
998,"Josgiri Hospital Blood Bank",NO,24x7,NO
999,"Tellichery Co-operative Hospital Blood Bank",NO,24x7,YES
1000,"General Hospital Blood Bank",NO,24x7,NO
1001,"Malabar Cancer Centre Society Blood Bank",YES,24x7,YES
1002,"District Hospital Blood Bank,Kanhangad",NO,24x7,NO
1003,"Medical diagnostic Centre Blood Bank",NO,24x7,NO
1004,"Community Health Centre (T.H.Q) - General Hospital Blood Bank",NO,24x7,NO
1005,"Saint Joseph Hospital Blood Bank",NO,24x7,NO
1006,"District Hospital Blood Bank",NO,24x7,YES
1007,"Bishop Benziger Hospital Blood Bank",NO,24x7,NO
1008,"I.M.A.Blood Bank",NO,24x7,YES
1009,"S.N.Trust Medical Mission Sankar Memorial Hospital Blood Bank",NO,24x7,YES
1010,"Upasana Hospital Blood Bank",NO,24x7,NO
1011,"Taluk Head Quarters Hospital Blood Bank",NO,24x7,NO
1012,"Holy Cross Hospital Blood Bank",NO,24x7,YES
1013,"Padmavathy Medical Foundation Blood Bank",NO,24x7,YES
1014,"Azeezia Medical College Blood Bank",NO,24x7,NO
1015,"Quilon Medical Trust Blood Bank Kollam",NO,24x7,YES
1016,"M/s. Employee&#39;s State Insurance Corporation (ESIC) Blood Bank",NO,24x7,NO
1017,"Saint Joseph Hospital Blood Bank",NO,24x7,NO
1018,"Government Hospital Blood Bank",NO,24x7,NO
1019,"Rotary Blood Bank",NO,24x7,YES
1020,"Immaculate Heart of Mary Hospital Blood Bank",NO,24x7,NO
1021,"Mary Queens Mission Hospital Blood Bank",NO,24x7,YES
1022,"Little Lourde Mission Hospital Blood Bank",NO,24x7,NO
1023,"District Hospital Blood Bank",NO,24x7,NO
1024,"Medical College Hospital Blood Bank",NO,24x7,YES
1025,"M/s. Bharath Charitable Hospital Society Blood Bank",NO,24x7,YES
1026,"Saint Thomas Hospital Blood Bank",NO,24x7,YES
1027,"MUM Hospital Blood Bank",NO,24x7,NO
1028,"Holy Ghost Mission Hospital Blood Bank",NO,24x7,YES
1029,"S. H. Medical Centre Blood Bank",NO,24x7,YES
1030,"Carmel Medical Centre Blood Bank",NO,24x7,NO
1031,"Marian Medical Centre Blood Bank",NO,24x7,NO
1032,"Believers Church Medical College Hospital Blood Bank",NO,24x7,YES
1033,"Velankanni Matha Hospital Private Limited Blood Bank",NO,24x7,YES
1034,"Caritas Hospital Blood Bank",NO,24x7,YES
1035,"Indo American Hospital - Brainand Spine Centre Blood Bank",NO,24x7,NO
1036,"P. V. S. Hospital Private Limited Blood Bank",NO,24x7,YES
1037,"MMC Hospital Blood Bank",NO,,NO
1038,"Metro International Cardiac Centre Blood Bank",NO,24x7,YES
1039,"Mar Gregorious Diocese Memorial Muthoot Hospital Blood Bank",,24x7,
1040,"Kozhikode District Co-operative Hospital Blood Bank",NO,24x7,YES
1041,"Government Woman and Child Hospital Blood Bank",NO,24x7,NO
1042,"Government General Hospital Blood Bank",NO,24x7,NO
1043,"Medical College Hospital Blood Bank",NO,24x7,YES
1044,"Baby Memorial Hospital Blood Bank",NO,24x7,YES
1045,"Fathima Hospital Blood Bank",NO,24x7,NO
1046,"K M C T Hospital Blood Bank",NO,24x7,YES
1047,"Malabar Institute of Medical Sciences Blood Bank",YES,24x7,YES
1048,"National Hospital Blood Bank",NO,24x7,YES
1049,"IQRAA Hospital Blood Bank",NO,24x7,NO
1050,"Nirmala Hospital Blood Bank",NO,24x7,NO
1051,"Saint Joseph Hospital Blood Bank",NO,24x7,NO
1052,"Santhi Hospital Blood Bank",NO,24x7,YES
1053,"Badagara sahakarana Asupathri Limited Blood Bank",NO,24x7,NO
1054,"Edappal Hospital Private Limited Blood Bank",NO,24x7,YES
1055,"Sree Valsam Institute of Medical Sciences Blood Bank",NO,24x7,YES
1056,"Malabar Institute of Medical Sciences Blood Bank - Malappuram",NO,24x7,YES
1057,"Almas Hospital Blood Bank - Chankuvatty",NO,24x7,YES
1058,"Orchid Institute of Health Care and Research Private Limited Blood Bank",NO,24x7,NO
1059,"District Hospital Blood Bank Manjeri",NO,24x7,NO
1060,"Korambayil Hospital Blood Bank",NO,24x7,YES
1061,"Al-Shifa Hospital Private Limited",NO,24x7,YES
1062,"M. E. S. Medical College Blood Bank",NO,24x7,NO
1063,"Government Hospital -Taluk Head Quarters Hospital Blood Bank ",NO,24x7,YES
1064,"Taluk Head Quarters Hospital",NO,24x7,NO
1065,"Karuna Medical College Hospital Blood Bank",YES,24x7,YES
1066,"Mother Care Hospital Blood Bank",NO,24x7,NO
1067,"Valluvanad Hospital Blood Bank",NO,24x7,NO
1068,"District Hospital",NO,24X7,NO
1069,"Palakkad Blood Bank",YES,24x7,YES
1070,"Holy Cross Hospital Blood Bank",NO,24x7,NO
1071,"Lifeline Super Speciality Hospital Blood Bank",NO,24x7,YES
1072,"Mar Gregorious Memorial Muthoot Medical Centre Blood Bank",NO,24x7,NO
1073,"Poyanil Hospital Blood Bank",NO,24x7,YES
1074,"Fellowship Mission Hospital Blood Bank",NO,24x7,NO
1075,"Archana Hospital Blood Bank Pandalam",NO,24x7,NO
1076,"Chithra Hospital Blood Bank",NO,24x7,NO
1077,"General Hospital Blood Bank ",NO,24x7,NO
1078,"Menathottam Hospital Blood Bank",NO,24x7,NO
1079,"Pushpagiri Hospital Blood Bank",NO,24x7,YES
1080,"Thiruvalla Medical Mission Hospital Blood Bank",NO,24x7,YES
1081,"Taluk Head Quarter Hospital Blood Bank",NO,24x7,NO
1082,"Dr. Somervel CSI Mission Hospital Blood Bank",NO,24x7,YES
1083,"P. N. M. Hospital Blood Bank",,24x7,
1084,"NIMS Hospital Blood Bank",NO,24X7,YES
1085,"General Hospital Blood Bank",NO,24x7,NO
1086,"Medical College Hospital Blood Bank",NO,24x7,YES
1087,"Regional Cancer Centre Blood Bank",NO,24x7,YES
1088,"Sri Chitra Thirunal Institute of Medical Science and Technology Blood Bank",NO,24x7,YES
1089,"Women and Children Hospital Blood Bank",NO,24x7,NO
1090,"Ananthapuri Hospital and Research Institute Blood Bank",NO,24x7,YES
1091,"Cosmopolitan Hospitals Private Hospital Blood Bank",NO,24x7,NO
1092,"Kerala Institute of Medical Sciences Blood Bank",YES,24x7,YES
1093,"PRS Hospital Private Limited Blood Bank",NO,24x7,YES
1094,"Sivagiri SreeNarayana Medical Mission Blood Bank",NO,24x7,NO
1095,"Sree Uthradam Thirunal Hospital Blood Bank",NO,24x7,NO
1096,"Superior Blood Bank",NO,24x7,NO
1097,"M/s. S R Super Speciality Hospital Blood Bank",NO,24x7,YES
1098,"S U T Royal Hospital Blood Bank",NO,24x7,YES
1099,"M/s. Ruckmoni Memorial Devi Hospital Blood Bank",NO,24x7,NO
1100,"Sree Gokulam Medical College and Research Foundation Blood Bank",NO,24x7,YES
1101,"Thrissur Metropolitan Health Care Private Limited Blood Bank",NO,24x7,NO
1102,"Amala Cancer Hospital and Research Centre Blood Bank",NO,24x7,YES
1103,"Saint James Hospital Blood Bank",NO,24x7,NO
1104,"Saint Josephs Hospital Blood Bank",NO,24x7,NO
1105,"Mary Immaculate Mission Hospital Blood Bank",NO,24x7,NO
1106,"Modern Medical Blood Bank",NO,24x7,NO
1107,"Elite Mission Hospital Blood Bank",NO,24x7,NO
1108,"Royal Hospital Blood Bank",NO,24x7,NO
1109,"Unity Hospital Private Limited Blood Bank",NO,24x7,NO
1110,"Maria Theresa Hospital Blood Bank",NO,24x7,NO
1111,"Medical College Hospital Blood Bank",NO,24x7,YES
1112,"Mother Hospital Blood Bank",NO,24x7,NO
1113,"Sacred Heart Mission Hospital Blood Bank",NO,24x7,NO
1114,"West Fort Hitech Hospital Blood Bank",NO,24x7,NO
1115,"Janakeeya Samithy (Arogyam) I.M.A Blood Bank Complex and Research Centre ",NO,24x7,YES
1116,"District Hospital Blood Bank ",NO,24x7,NO
1117,"Aswini Hospital Private Limited Blood Bank",NO,24x7,NO
1118,"Bishop Alappat Mission Hospital Blood Bank",NO,24x7,NO
1119,"Jubilee Mission Hospital Blood Bank",NO,24x7,YES
1120,"Malankara Orthodox Syrian Church Medical Mission Hospital Blood Bank",NO,24x7,YES
1121,"Thrichur Heart Hospital Limited Blood Bank",NO,24x7,YES
1122,"West Fort Hospital Blood Bank Thrissur",NO,24x7,NO
1123,"M/s. Ahalia International Foundation Blood Bank",NO,24x7,YES
1124,"M/s. Leo Hospital Blood Bank",NO,24x7,NO
1125,"District Hospital Blood Bank",NO,24x7,YES
1126,"D. M. Wayanad Institute of Medical Sciences Blood Bank",NO,24x7,NO
1127,"Government Taluk Head Quarters Hospital Blood Bank",NO,24x7,NO
1128,"Indira Gandhi Hospital Blood Bank",,,
1129,"District Hospital Blood Bank",NO,24x7,NO
1130,"Ashoknagar Seva Samiti Blood Bank",NO,24x7,NO
1131,"District Hospital Balaghat",NO,24x7,NO
1132,"Agrawal Blood Bank",NO,24x7,NO
1133,"District Hospital Blood Bank",NO,24x7,NO
1134,"District Hospital Blood Bank",NO,24x7,NO
1135,"Padhar Hospital Blood Bank",,,NO
1136,"WCL Hospital Blood Bank Pathakheda ",,24x7,
1137,"District Hospital Blood Bank",NO,24x7,NO
1138,"Chirayu Medical College and Hospital Blood Bank",NO,24x7,YES
1139,"Gandhi Medical College Blood Bank",YES,24x7,YES
1140,"Bhopal Memorial Hospital and Research Centre Blood Bank",YES,24x7,YES
1141,"District Hospital Blood Bank",,24x7,
1142,"IGH Gas Rahat Blood Bank",NO,24x7,NO
1143,"Indian Red7091 Cross Society (IRCS) Blood Bank",NO,24x7,NO
1144,"Kasturba Hospital BHEL Blood Bank",NO,24x7,NO
1145,"MP Thelasmia Kid Care Society Blood Bank",NO,24x7,YES
1146,"Tatpar Pathology and Diagnostic Centre Blood Bank",NO,24x7,YES
1147,"Jawahar Lal Nehru Cancer Hospital and Research Centre Blood Bank",NO,24x7,YES
1148,"People Hospital Blood Bank",NO,24x7,YES
1149,"New Bhopal Blood Bank",NO,24x7,NO
1150,"Arpan Blood Bank",NO,24x7,NO
1151,"Chirayu Health and Medicare Blood Bank ",YES,24x7,YES
1152,"City Blood Bank of Bhojpal Charitable Trust",NO,24x7,NO
1153,"JK Hospital and Medical Research Centre Blood Bank",YES,24x7,YES
1154,"Manas Blood Bank of Chinmayi Swasthya Seva Sadhbhav Shikshan Samiti",NO,24x7,YES
1155,"RKDF Medical College Hospital and Research Centre Blood Bank",,,
1156,"Bansal Hospital Redefining Healthcare Blood Bank",NO,24x7,YES
1157,"District Hospital",NO,24X7,NO
1158,"Chandubhai Somabhai Patel Blood Bank ",NO,24x7,NO
1159,"District Hospital Blood Bank",NO,24x7,NO
1160,"WCL Badkui Hospital Chhindwara Blood Bank",NO,24x7,NO
1161,"District Hospital Blood Bank",NO,24x7,YES
1162,"District Hospital Blood Bank",NO,24x7,NO
1163,"Madhav Smriti Seva Nyas Blood Bank",,,
1164,"District Hospital Blood Bank",NO,24x7,NO
1165,"District Hospital Blood Bank",NO,24x7,NO
1166,"Vishnuprabha Charitable Trust Blood Bank",NO,24x7,NO
1167,"District Hospital Blood Bank ",NO,24x7,NO
1168,"Mittal Hospital Blood Bank",NO,24x7,NO
1169,"District Hospital Blood Bank",NO,24x7,NO
1170,"District Hospital Blood Bank",NO,24x7,NO
1171,"Deep Blood Bank",,,
1172,"District Hospital Blood Bank",NO,24x7,NO
1173,"Kanchan Medicare and Research Centre Private Limited Blood Bank",NO,24x7,NO
1174,"Indian Red Cross Society (IRCS) Blood Bank",NO,24x7,NO
1175," Blood Bank (Component & Apheresis Unit) G.R.Medical College",YES,24x7,YES
1176,"District Hospital Blood Bank",NO,24x7,NO
1177,"Indian Red Cross Society (IRCS) Blood Bank",NO,24x7,NO
1178,"Shri Radheswami Blood Bank",NO,,NO
1179,"Emergency Blood Bank",NO,24x7,YES
1180,"Captain OS Dewan Memorial Blood Bank",,,
1181,"Cancer Hospital and Research Centre Blood Bank",,,
1182,"Radhaswami Blood Bank Services",,,
1183,"Shri Guruji Raktkosh Blood Bank",,,
1184,"Birla Institute of Medical Research Blood Bank",,,
1185,"District Hospital Blood Bank",NO,24x7,NO
1186,"District Hospital Blood Bank",NO,24x7,NO
1187,"Society of Saint Joseph Hospital Blood Bank",,,
1188,"Harit Blood Bank",,,
1189,"Shreya Blood Bank",,,
1190,"Civil Hospital Itarsi Blood Bank",NO,24x7,NO
1191,"Lahoti Medicare Private Limited Blood Bank",,,
1192,"MY Hospital & MGM Medical College - State of ART Model Blood Bank ",YES,24x7,YES
1193,"Modern Blood Bank",,,
1194,"Allied Pathology Laboratory and Blood Bank",,,
1195,"CHL Apollo Hospital Blood Bank",,,
1196,"Suyash Blood Bank",,,
1197,"Mohit Blood Bank Services",,,
1198,"Lions Club of Indore Blood Bank",,,
1199,"MP Thalassmia Welfare Society Blood Bank",,,
1200,"Shubham Pathological Diagnostic Centre Blood Bank",,,
1201,"Life Line Hospital Blood Bank",,,
1202,"Qurewell Blood Bank of Care Well Hospital Private Limited",,,
1203,"Noble Pathology Labs Blood Bank",,,
1204,"Shri Satya Sai Blood Bank",,,
1205,"Shri Indore Cloth Market Hospital Blood Bank",,,
1206,"Vishnu Prabha Diagnostic Centre Blood Bank",,,
1207,"Choitram Hospital and Research Centre Blood Bank",,,
1208,"Vishesh Hospital Blood Bank",,,
1209,"Gurjar Hospital and Endoscopy Centre Private Limited Blood Bank",,,
1210,"Gokuldas Hospital Blood Bank",,,
1211,"SNG Hospital Blood Bank",,,
1212,"Index Medical College Hospital and Research Centre Blood Bank",,,
1213,"Arihant Hospital and Research Centre Blood Bank",,,
1214,"Aruvindo Blood Banks SAIMS Hospital",,,
1215,"Bombay Hospital Trust Blood Bank",,,
1216,"Greater Kailash Hospitals Private Limited Blood Bank",,,
1217,"Sanghvi Blood Bank",,,
1218,"Verma Union Hospital Blood Bank",,,
1219,"NSCB Medical College Blood Bank",YES,24x7,YES
1220,"Rani Durgawati Hospital Blood Bank",,24x7,
1221,"District Victoria Hospital Blood Bank",YES,24x7,NO
1222,"Bansal Blood Bank and Transfusion Service",,,
1223,"Jabalpur Thalesemia Society Blood Bank",,,
1224,"Khanna Pathology Lab and Blood Bank",,,
1225,"Military Hospital Blood Bank ",,,
1226,"Jabalpur Blood Bank & Pathology Lab",,,
1227,"District Hospital",,24X7,NO
1228,"Jivan Jyoti Hospital Blood Bank",,,
1229,"District Hospital Blood Bank",NO,24x7,NO
1230,"District Hospital Blood Bank",,24x7,NO
1231,"District Hospital Blood Bank Mandla",NO,24x7,NO
1232,"District Hospital Blood Bank",NO,24x7,NO
1233,"Jain Pathology Laboratory and Blood Bank",,,
1234,"District Hospital Blood Bank",NO,24x7,NO
1235,"Jindal Blood Bank",,,
1236,"District Hospital Narsinghpur Blood Bank ",NO,24x7,NO
1237,"Indian Red Cross Society (IRCS) Blood Bank",NO,24x7,NO
1238,"District Hospital Blood Bank",,24x7,
1239,"District Hospital Blood Bank",,24x7,
1240,"District Hospital Blood Bank",NO,24x7,NO
1241,"District Hospital Blood Bank",YES,24x7,NO
1242,"Manav Seva Samiti Blood Bank",,,
1243,"S. S. Medical College Blood Bank",NO,24x7,YES
1244,"District Hospital Blood Bank",NO,24x7,NO
1245,"Bhagyoday Tirth Hospital Blood Bank",,,
1246,"Sadguru Blood Bank Chitrakoot",NO,24x7,NO
1247,"District Hospital Blood Bank",,24x7,
1248,"MP Birla Hospital and Priyamvada Birla Cancer Research Institute Blood Bank",,,
1249,"District Hospital Blood Bank",NO,24x7,NO
1250,"District Hospital Blood Bank Seoni",NO,24x7,NO
1251,"Burhar Central Hospital of South Eastern Coal Fields Limited Blood Bank",NO,24x7,NO
1252,"District Hospital Blood Bank",NO,24x7,NO
1253,"Murlidhar Kripa Hospital Blood Bank",,,
1254,"District Hospital Blood Bank",NO,24x7,NO
1255,"District hospital sheopur",NO,24x7,NO
1256,"District Hospital Blood Bank",NO,24x7,NO
1257,"District Hospital Blood Bank",NO,24x7,NO
1258,"Nehru Jan shatabdi Chikitsalaya Blood Bank ",NO,24x7,NO
1259,"Red Cross Blood Bank",,,
1260,"District Hospital Blood Bank",NO,24x7,NO
1261,"Grassim Hospital and Blood Bank",,,
1262,"District Hospital Blood Bank",NO,24x7,NO
1263,"Puspha Mission Hospital and Maternity Home Blood Bank",,,
1264,"Ujjain Charitable Trust Blood Bank",,,
1265,"CR Gardi Hospital and RD Blood Bank",NO,24x7,YES
1266,"District Hospital Blood Bank",NO,24x7,NO
1267,"District Hospital Blood Bank",NO,24x7,NO
1268,"Civil Surgeon General Hospital Blood Bank",NO,"24 Hours",YES
1269,"Sanjeevani Blood Bank Kopargaon",NO,24x7,NO
